onset,score,predict
0:00:00.100000,0.68875694,door
0:00:00.200000,0.7403763,door
0:00:00.300000,0.7546677,door
0:00:00.400000,0.80733633,door
0:00:00.500000,0.67122644,door
0:00:00.600000,0.0,unknown
0:00:00.700000,0.566774,door
0:00:00.800000,0.7964104,door
0:00:00.900000,0.73688793,door
0:00:01,0.7565886,door
0:00:01.100000,0.717265,door
0:00:01.200000,0.75088763,door
0:00:01.300000,0.7096321,door
0:00:01.400000,0.71073866,door
0:00:01.500000,0.66797423,door
0:00:01.600000,0.5189005,scream
0:00:01.700000,0.64751303,door
0:00:01.800000,0.7451812,door
0:00:01.900000,0.7927831,door
0:00:02,0.66753566,door
0:00:02.100000,0.0,unknown
0:00:02.200000,0.62062293,door
0:00:02.300000,0.75140893,door
0:00:02.400000,0.79052615,door
0:00:02.500000,0.6936331,door
0:00:02.600000,0.500397,door
0:00:02.700000,0.5044879,door
0:00:02.800000,0.7723124,door
0:00:02.900000,0.64573056,door
0:00:03,0.7826439,door
0:00:03.100000,0.0,unknown
0:00:03.200000,0.7794395,door
0:00:03.300000,0.6708455,door
0:00:03.400000,0.0,unknown
0:00:03.500000,0.66215825,door
0:00:03.600000,0.0,unknown
0:00:03.700000,0.5698975,door
0:00:03.800000,0.74979997,door
0:00:03.900000,0.6676327,door
0:00:04,0.6576873,door
0:00:04.100000,0.0,unknown
0:00:04.200000,0.54748476,door
0:00:04.300000,0.7110347,door
0:00:04.400000,0.5948186,door
0:00:04.500000,0.0,unknown
0:00:04.600000,0.0,unknown
0:00:04.700000,0.0,unknown
0:00:04.800000,0.76220715,door
0:00:04.900000,0.6067339,door
0:00:05,0.68249935,door
0:00:05.100000,0.51767904,door
0:00:05.200000,0.7530558,door
0:00:05.300000,0.6379196,door
0:00:05.400000,0.52370745,door
0:00:05.500000,0.5567671,door
0:00:05.600000,0.0,unknown
0:00:05.700000,0.6838255,door
0:00:05.800000,0.7210171,door
0:00:05.900000,0.7603129,door
0:00:06,0.57568634,door
0:00:06.100000,0.0,unknown
0:00:06.200000,0.7088786,door
0:00:06.300000,0.6899162,door
0:00:06.400000,0.79715484,door
0:00:06.500000,0.7378472,door
0:00:06.600000,0.0,unknown
0:00:06.700000,0.0,unknown
0:00:06.800000,0.58171165,door
0:00:06.900000,0.0,unknown
0:00:07,0.0,unknown
0:00:07.100000,0.0,unknown
0:00:07.200000,0.0,unknown
0:00:07.300000,0.0,unknown
0:00:07.400000,0.6158741,door
0:00:07.500000,0.7951171,door
0:00:07.600000,0.0,unknown
0:00:07.700000,0.0,unknown
0:00:07.800000,0.0,unknown
0:00:07.900000,0.5002181,door
0:00:08,0.5544903,door
0:00:08.100000,0.0,unknown
0:00:08.200000,0.0,unknown
0:00:08.300000,0.0,unknown
0:00:08.400000,0.0,unknown
